SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
50132.4*A,AIRPORT,1AK2,09/20/2012,AAL,NONE,AK,ALASKA,VALDEZ-CHITNA-WHITIE,AK,CROSSWIND LAKE,CROSSWIND LAKE,PR,PR,KIRK AND JULIE WILSON,HC 1 BOX 1960,GLENNALLEN- AK 99588,,KIRK AND JULIE WILSON,HC 1 BOX 1960,GLENNALLEN- AK 99588,,62-24-03.3910N,224643.3910N,146-00-47.8970W,525647.8970W,E,2125,E,27E,1985,,ANCHORAGE,0,N,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,N,,O,,,NOT ANALYZED,N,N,N,N,2,F,10181975,,,NONE,NONE,NONE,NONE,,,N,,,N,,N,,,,,,,,,,,50,30,100,,10/18/1975,,,,,,,,N
50135.1*A,AIRPORT,DCK,09/20/2012,AAL,NONE,AK,ALASKA,KOBUK,AK,DAHL CREEK,DAHL CREEK,PU,PU,ST OF AK DOTPF/N RGN,2301 PEGER RD,FAIRBANKS- AK 99709,    907-451-2200,CALVIN SCHAEFFER,BOX 55,KOTZEBUE- AK 99752,    907-442-3147,66-56-36.0170N,240996.0170N,156-54-16.8260W,564856.8260W,E,260,E,23E,1985,,FAIRBANKS,10,SE,   13,ZAN,ZAN,ANCHORAGE,,,,N,OTZ,KOTZEBUE,907-442-3310,1-800-478-7460,FAI,FAIRBANKS,1-866-248-6516,OTZ,Y,07/01/1951,O,,NGY,NOT ANALYZED,N,N,N,Y,C,C,9082011,,,NONE,NONE,NONE,NONE,,,N,,122.7,Y,,N,,0,0,0,0,,,,,,,,,,09/14/2008,,,,,,,,Y
50140.72*A,AIRPORT,AK15,09/20/2012,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,DEADHORSE,ALPINE AIRSTRIP,PR,PR,CONOCO PHILLIPS- INC,PO BOX 100360,ANCHORAGE- AK 99501-0360,    907-670-4005,JOHN MURRY,700 G STREET,ANCHORAGE- AK 99501,    907-670-4005,70-20-39.4000N,253239.4000N,150-56-41.1000W,543401.1000W,E,21,S,21E,2010,,POINT BARROW,53,W,,ZAN,ZAN,ANCHORAGE,,,,,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,,,02/01/2000,O,,,,,,,,2,N,2012000,2162011,,,,,,SEE RMK,,N,122.8,,N,,,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2011-01-01 00:00:00.0,3RD PARTY SURVEY,2011-01-01 00:00:00.0,,,,Y-L
50140.73*A,AIRPORT,AK78,09/20/2012,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,DEADHORSE,BADAMI,PR,PR,SAVANT ALASKA LLC,PO BOX 112212,ANCHORAGE- AK 99511-2212,    907-659-1349,ZANE HENNING,4720 BUSINESS PARK BLVD- SUITE G-40,ANCHORAGE- AK 99503,    907-659-1349,70-08-14.8800N,252494.8800N,147-01-49.5800W,529309.5800W,E,25,E,29E,2000,,POINT BARROW,29,E,,ZAN,ZAN,ANCHORAGE,,,,,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,FDC,,03/01/2003,O,,,NO OBJECTION,,,,,2,N,,11252010,,,,,,SEE RMK,,N,,122.9,N,,,,,,,,,,,,,,,,,,FAA,2012-03-30 00:00:00.0,FAA,2012-03-30 00:00:00.0,,,,
50140.75*H,HELIPORT,AA03,09/20/2012,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,DEADHORSE,CENTRAL PAD,PR,PR,FAIRWEATHER INC,9525 KING ST.,ANCHORAGE- AK 99515,    907-346-3247,SHERRON G. PERRY,9525 KING ST.,ANCHORAGE- AK 99515,    907-346-3247,70-10-16.6246N,252616.6246N,146-15-30.8507W,526530.8507W,E,9,E,23E,2010,,POINT BARROW,44,NE,,ZAN,ZAN,ANCHORAGE,,,,,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,FDC,,01/01/2009,O,,,NO OBJECTION,,,,,2,N,12152008,,,,,,,,,N,,122.9,,,,,,,,,,,,,,,,,,,OWNER,2011-07-19 00:00:00.0,OWNER,2011-07-19 00:00:00.0,,,,Y-L
50140.7*A,AIRPORT,SCC,09/20/2012,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,DEADHORSE,DEADHORSE,PU,PU,ST OF AK DOTPF NOR REG,2301 PEGER RD,FAIRBANKS- AK 99709,    907-451-2200,TIM PARAULT,POUCH 340002,PRUDHOE BAY- AK 99734,    907-659-2553,70-11-43.9645N,252703.9645N,148-27-56.8452W,534476.8452W,E,64,S,23E,2010,,POINT BARROW,0,SE, 6506,ZAN,ZAN,ANCHORAGE,,,,Y,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,SCC,Y,04/01/1970,O,I B S 03/2005,NGY,NO OBJECTION,N,N,N,Y,F,F,5172012,,100  B    MOGAS,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,123,123.6,Y,CG,N,,3,2,,2,,,,16060,,4576,9126,3000,150,01/01/2012,FAA-EST,2012-06-21 00:00:00.0,3RD PARTY SURVEY,2010-09-29 00:00:00.0,,,CARGO,Y-L
50140.721*A,AIRPORT,22AK,09/20/2012,AAL,NONE,AK,ALASKA,BARROW,AK,DEADHORSE,HELMERICKS,PR,PR,JAMES HELMERICKS,PO BOX 340109,PRUDHOE BAY- AK 99734,    907-685-0324,JAMES HELMERICKS,PO BOX 340109,PRUDHOE BAY- AK 99734,    907-685-0324,70-25-42.0170N,253542.0170N,150-24-10.4360W,541450.4360W,E,7,E,29E,1985,,POINT BARROW,0,N,,ZAN,ZAN,ANCHORAGE,,,,N,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,,N,07/01/1979,O,,,NOT ANALYZED,,,,,2,C,7311991,11252008,,,,,,,,N,122.8,122.8,N,,Y,,2,,,,,,,,,150,2,2,,07/31/1991,OWNER,2008-12-15 00:00:00.0,OWNER,2008-12-15 00:00:00.0,,,,Y
50140.8*A,AIRPORT,4AK1,09/20/2012,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,DEADHORSE,INIGOK,PR,PR,BUREAU OF LAND MANAGEMENT,222 W 7TH AVENUE #13,ANCHORAGE- AK 99513,    907-271-5555,ARCTIC FLD OFFICE MANAGER,1150 UNIV AVE,FAIRBANKS- AK 99709,    907-474-2200,70-00-13.7905N,252013.7905N,153-04-39.2455W,551079.2455W,E,191,S,20E,2010,,POINT BARROW,96,W,,ZAN,ZAN,ANCHORAGE,,,,,BRW,BARROW,907-852-2511,LC852-2511,FAI,FAIRBANKS,1-866-248-6516,FDC,,12/01/2003,O,,,NO OBJECTION,,,,,,N,,4042011,,,,,,,SS-SR,N,122.8,122.8,N,CG,,,,,,,,,,,,,,,,,FAA,2012-07-30 00:00:00.0,STATE,2002-10-11 00:00:00.0,,,,Y-L
50140.76*A,AIRPORT,37AA,09/20/2012,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,DEADHORSE,POINT THOMSON AIRSTRIP,PR,PR,EXXON MOBIL,3700 CENTERPOINT DRIVE- STE. 600,ANCHORAGE- AK 99503,    907-561-5331,JAVIER FENTE,3700 CENTERPOINT DRIVE- STE. 600,ANCHORAGE- AK 99503,    907-561-5331,70-08-09.6000N,252489.6000N,146-17-24.1000W,526644.1000W,E,50,E,,,,POINT BARROW,44,E,,ZAN,ZAN,ANCHORAGE,,,,,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,,,09/01/2011,CP,,,CONDITIONAL,,,,,2,N,,6272011,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,OWNER,2011-06-27 00:00:00.0,OWNER,2011-06-27 00:00:00.0,,,,Y
50145.1*A,AIRPORT,DEE,09/20/2012,AAL,NONE,AK,ALASKA,KOBUK,AK,DEERING,DEERING,PU,PU,ST OF AK DOTPF N REG,2301 PEGER RD,FAIRBANKS- AK 99709,    907-451-2200,CALVIN SCHAEFFER,BOX 55,KOTZEBUE- AK 99752,    907-442-3147,66-04-08.8000N,237848.8000N,162-46-01.4000W,585961.4000W,E,30,S,16E,2005,,NOME,2,SW,  262,ZAN,ZAN,ANCHORAGE,,,,N,OTZ,KOTZEBUE,907-442-3310,1-800-478-7460,FAI,FAIRBANKS,1-866-248-6516,DEE,Y,,O,,NGY,NO OBJECTION,N,N,N,Y,C,C,9062011,,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,,122.9,Y,CG,N,,,,,,,,,,,3500,,,,09/16/2008,3RD PARTY SURVEY,2010-07-20 00:00:00.0,3RD PARTY SURVEY,2010-07-20 00:00:00.0,,TIE,,Y-L
50146.09*A,AIRPORT,AK77,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,ALL WEST,PR,PR,ALL WEST FREIGHT,P.O. BOX 708,DELTA JUNCTION- AK 99737,    907-895-9800,BARBIE FOSTER,ALL WEST FREIGHT- P.O. BOX 708,DELTA JUNCTION- AK 99737,    907-895-9800,63-56-29.1400N,230189.1400N,145-25-20.0100W,523520.0100W,E,1275,E,,,,ANCHORAGE,11,E,,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,,,05/01/2003,O,,,NO OBJECTION,,,,,2,N,,1262011,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,OWNER,2002-10-18 00:00:00.0,OWNER,2002-10-18 00:00:00.0,,,,
50146.06*A,AIRPORT,9AK4,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,ARCTIC ANGEL,PR,PR,RICHARD M. CARPENTER,HC-60-BOX 4740,DELTA JUNCTION- AK 99737,    907-895-1005,RICHARD M. CARPENTER,HC-60-BOX 4740,DELTA JUNCTION- AK 99737,    907-895-1005,64-08-14.5000N,230894.5000N,145-49-49.4000W,524989.4000W,E,1009,E,28E,1990,,FAIRBANKS,8,NW,   19,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,,N,12/01/1992,O,,,NO OBJECTION,,,,,2,N,,4042011,,,,,,SS-SR,,N,,,N,,N,,2,,,,,,,,,,,,,,,,,,,,,Y-L
50146.07*H,HELIPORT,AK35,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,BUFFALO ROW,PR,PR,THOMAS GILBERTSON,P.O. BOX 1069,DELTA JUNCTION- AK 99737,    907-895-4663,THOMAS GILBERTSON,P.O. BOX 1069,DELTA JUNCTION- AK 99737,    907-895-4663,64-02-19.9050N,230539.9050N,145-44-20.2100W,524660.2100W,E,1180,E,25E,2000,,FAIRBANKS,0,W,,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,,,07/01/2002,O,,,CONDITIONAL,,,,,2,N,,1202011,,,,,,,SEE RMK,N,,,N,CGY,,,,,,2,,,,,,,,,,,OWNER,2002-02-14 00:00:00.0,OWNER,2002-02-14 00:00:00.0,,,,
50146.04*A,AIRPORT,45AK,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,CHEROKEE,PR,PR,ROBERT M. AND KIMBERLY ADAMS,PO BOX 1374,DELTA JUNCTION- AK 99737,    907-895-5160,ROBERT M. AND KIMBERLY ADAMS,PO BOX 1374,DELTA JUNCTION- AK 99737,    907-895-5160,63-57-42.5840N,230262.5840N,145-28-12.3310W,523692.3310W,E,1300,E,29E,1985,,ANCHORAGE,10,SE,,ZAN,ZAN,ANCHORAGE,,,,,ORT,NORTHWAY,907-778-2219,1-800-478-6611,FAI,FAIRBANKS,1-866-248-6516,,N,04/01/1988,O,,,NO OBJECTION,,,,,2,N,,9122005,,,,,,,,N,,,N,,,,1,,,,,,,,,,,,,,,,OWNER,1987-12-09 00:00:00.0,,,,
50146.022*A,AIRPORT,AA22,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,DELTA DAVES,PR,PR,DAVID AND TWYLA WEBBER,PO BOX 31,DELTA JUNCTION- AK 99737,    907-895-4887,DAVID WEBBER,PO BOX 31,DELTA JUNCTION- AK 99737,    907-895-4887,64-07-58.2900N,230878.2900N,145-48-16.1800W,524896.1800W,E,1050,E,,,,FAIRBANKS,7,NW,,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,,,08/01/2008,O,,,CONDITIONAL,,,,,2,N,,2162011,,,,,,,,N,,,,,,,1,,,,,,0,,,,,,,,OWNER,2008-08-07 00:00:00.0,OWNER,2008-08-07 00:00:00.0,,,,Y
50146.02*A,AIRPORT,D66,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,DELTA JUNCTION,PU,PU,CITY OF DELTA JUNCTION,PO BOX 229,DELTA JUNCTION- AK 99737,    907-895-4656,JACK MORRIS,DELTA PILOTS COMN- BOX 525,DELTA JUNCTION- AK 99737,    907-895-4876,64-03-01.5750N,230581.5750N,145-43-02.3750W,524582.3750W,E,1150,E,28E,1985,,FAIRBANKS,0,N,   80,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,FAI,Y,11/01/1990,O,,,NOT ANALYZED,,,,,F,C,5292010,11291990,,,,,,,,N,,122.9,N,,,,15,1,,,,,,,,,,,,05/31/2010,,,,,,TIE,INSTR,Y
50146.1*A,AIRPORT,76AK,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,POGO MINE AIRSTRIP,PR,PR,SUMITOMO METAL MINING POGO LLC,3204 INTERNATIONAL ST,FAIRBANKS- AK 99701,    907-895-2685,CHRIS KENNEDY,PO BOX 145,DELTA JUNCTION- AK 99737,,64-28-02.8700N,232082.8700N,144-55-15.2100W,521715.2100W,E,1350,E,,,,FAIRBANKS,33,NW,,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,,,07/01/2004,O,,,NO OBJECTION,,,,,,N,,7222011,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,OWNER,2003-10-14 00:00:00.0,OWNER,2003-10-14 00:00:00.0,,,,
50146.03*A,AIRPORT,29AK,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,REMINGTON FIELD,PR,PR,BRETT HULEN,4137 BANBRIDGE LOOP SE,OLYMPIA- WA 98501,,BRETT HULEN,4137 BANBRIDGE LOOP SE,OLYMPIA- WA 98501,,64-02-58.5940N,230578.5940N,145-25-08.3700W,523508.3700W,E,1250,E,28E,1985,,FAIRBANKS,10,E,,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,,N,11/01/1982,O,,,,,,,,2,N,,7112011,,,,,,,,N,,,N,,,,2,,,,,,,,,,,,,,,,,,,,,Y
50146.012*A,AIRPORT,11AK,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,ROCKING T RANCH,PR,PR,GREG & PEGGY TURNER,PO BOX 684,DELTA JUNCTION- AK 99737,    907-895-4207,GREG & PEGGY TURNER,PO BOX 684,DELTA JUNCTION- AK 99737,    907-895-4207,63-59-58.5810N,230398.5810N,145-30-08.3440W,523808.3440W,E,1190,E,28E,1985,,ANCHORAGE,6,E,,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,,N,02/01/1978,O,,,NO OBJECTION,,,,,2,N,,3152011,,,,NONE,NONE,,,N,,122.9,N,,,,2,,,,,,,,,50,60,250,,10/20/1979,,,,,,HGR,,
50146.08*H,HELIPORT,72AK,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,TROPHY LODGE,PR,PR,THOMAS ROY GILBERTSON,P.O. BOX 1069,DELTA JUNCTION- AK 99737,    907-895-4663,JANELL GILBERTS0N,P.O. BOX 1069,DELTA JUNCTION- AK 99737,    907-895-4663,64-01-37.5920N,230497.5920N,145-40-48.6280W,524448.6280W,E,1200,E,25E,2000,,FAIRBANKS,2,SE,,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,,,07/01/2002,O,,,CONDITIONAL,,,,,2,N,,1312011,,,,,,,SEE RMK,N,,,N,CGY,,,,,,10,,,,,,,,,,,OWNER,2002-02-14 00:00:00.0,OWNER,2002-02-14 00:00:00.0,,,,
50146.05*A,AIRPORT,AK09,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION,WINGSONG ESTATES,PR,PR,KURT & LORRAINE UEECK,HC 60 BOX 3560,DELTA JUNCTION- AK 99737,    907-895-1962,KURT & LORRAINE UEECK,1900 GRANITE VIEW DR,DELTA JUNCTION- AK 99737,    907-895-1962,64-02-58.5840N,230578.5840N,145-30-08.3670W,523808.3670W,E,1100,E,28E,1990,,FAIRBANKS,7,N,   10,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,,N,12/01/1991,O,,,CONDITIONAL,,,,,2,N,,7082011,,,,,,,,N,,,N,,,,2,,,,,,,,,,,,,,,,,,,,,Y
50146.*A,AIRPORT,BIG,09/20/2012,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,DELTA JUNCTION FT GREELY,ALLEN AAF,MR,PU,U.S. ARMY,U.S. ARMY FORCES COMMAND,ATLANTA- GA,,HQ 172 INFANTRY BRIGADE,FT RICHARDSON,ALASKA 99505,    907-873-4171,63-59-42.5771N,230382.5771N,145-43-12.0888W,524592.0888W,E,1291,S,23E,2005,,ANCHORAGE,3,S,,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,BIG,Y,,O,,,NOT ANALYZED,N,N,N,Y,F,F,1031984,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,,122.9,Y,CG,N,,,,,3,,,,,,,1200,1500,26500,01/03/1984,FAA-EST,2010-06-24 00:00:00.0,AVN,2007-02-16 00:00:00.0,,HGR,,Y
50153.*A,AIRPORT,DLG,09/20/2012,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,DILLINGHAM,DILLINGHAM,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,P O BOX 196900,ANCHORAGE- AK 99519-6900,    907-269-0751,NORMAN HEYANO,BOX 250,DILLINGHAM- AK 99576,    907-842-5511,59-02-40.8000N,212560.8000N,158-30-19.8000W,570619.8000W,E,81,S,15E,2010,,KODIAK,2,W,  620,ZAN,ZAN,ANCHORAGE,,,,Y,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,DLG,Y,11/01/1950,O,I A S 05/1973,NGSY,NO OBJECTION,N,N,N,Y,F,F,9022011,7191994,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,,,52,,,1,,,,1323,,36489,2083,10986,11,08/31/2011,NGS,2005-05-25 00:00:00.0,NGS,2005-05-25 00:00:00.0,,TIE,CARGO,Y
50153.01*A,AIRPORT,AK21,09/20/2012,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,DILLINGHAM,NUSHAGAK,PR,PR,NUSHAGAK SHORES HOMEOWNERS ASSOC.,19239 ADRIAN AVENUE,CHUGIAK- AK 99567,    907-688-2084,BURT BOMHOFF,19239 ADRIAN AVENUE,CHUGIAK- AK 99567,    907-688-2084,59-07-57.3000N,212877.3000N,157-46-37.8500W,567997.8500W,E,40,E,19E,1995,,KODIAK,22,N,,ZAN,ZAN,ANCHORAGE,,,,,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,,,02/01/2000,O,,,NO OBJECTION,,,,,2,N,2012000,4102008,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
50154.*C,SEAPLANE BASE,0Z3,09/20/2012,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,DILLINGHAM,SHANNONS POND,PU,PU,STATE OF ALASKA/DIV OF LANDS,323 E 4TH AVE,ANCHORAGE- AK 99501,,ERIC SHADE,PO BOX 131,DILLINGHAM- AK 99576,    907-842-2735,59-03-32.3120N,212612.3120N,158-34-37.8840W,570877.8840W,E,80,E,20E,1985,,KODIAK,3,W,,ZAN,ZAN,ANCHORAGE,,,,N,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,DLG,Y,06/01/1963,O,,,NO OBJECTION,N,N,N,N,S,C,6292007,,100LL,NONE,NONE,NONE,NONE,,,N,,123.6,N,,N,,15,,,,,,,,,,,,,12/31/2006,,,,,,TIE,CARGO,Y
50156.5*H,HELIPORT,DM2,09/20/2012,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,DIOMEDE,DIOMEDE,PU,PU,STATE OF ALASKA- DEPT OF TRANS,2301 PEGER ROAD,FAIRBANKS- AK 99709,    907-451-2200,ROBERT MADDEN- JR,ALASKA DOT&PF- PO BOX 10,NOME- AK 99762,    907-443-2500,65-45-31.0000N,236731.0000N,168-57-11.0000W,608231.0000W,E,20,E,14E,1995,,NOME,0,N,,ZAN,ZAN,ANCHORAGE,,,,,OME,NOME,LC 443-2291,1-800-478-8400,FAI,FAIRBANKS,1-866-248-6516,OME,Y,02/01/2000,O,,N,NO OBJECTION,,,,,1,S,6222010,12121996,,,,,,SS-SR,SS-SR,N,,123,N,CGY,,,0,0,0,0,,,,,,224,,,10,05/30/2010,,,,,,,,Y
50165.*A,AIRPORT,AK23,09/20/2012,AAL,NONE,AK,ALASKA,ALEUTIANS EAST,AK,DUTCH HARBOR,DRIFTWOOD BAY AIR FORCE STATION,PR,PR,USAF- 611 CES / CEAOR,10471 20TH STREET- SUITE 302,ELMENDORF AFB- AK 99506,    907-552-8757,RPO,10471 20TH STREET- SUITE 302,ELMENDORF AFB- AK 99506,    907-552-8757,53-58-16.0000N,194296.0000N,166-52-38.0000W,600758.0000W,E,24,E,12E,1965,,DUTCH HARBOR,13,NW,  459,ZAN,ZAN,ANCHORAGE,,,,,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,,,02/01/2001,O,,,NO OBJECTION,,,,,,N,,5312011,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
50175.*A,AIRPORT,EAA,09/20/2012,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,EAGLE,EAGLE,PU,PU,STATE OF AK DOTPF-N REGION,2301 PEGER RD,FAIRBANKS- AK 99709,    907-451-2200,DENNIS BISHOP,P O BOX 356,TOK- AK 99780,    907-883-5128,64-46-41.1000N,233201.1000N,141-08-58.6000W,508138.6000W,E,908,S,31E,1985,,DAWSON,2,E,   87,ZAN,ZAN,ANCHORAGE,,,,N,ORT,NORTHWAY,907-778-2219,1-800-478-6611,FAI,FAIRBANKS,1-866-248-6516,EAA,Y,11/01/1949,O,,NGY,NO OBJECTION,N,Y,N,Y,C,C,9052009,,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,122.8,122.8,Y,CG,N,,1,0,0,0,,,,,,400,800,1200,,12/31/2005,NGS,2007-06-16 00:00:00.0,NGS,2007-06-16 00:00:00.0,,TIE,CARGO,Y-L
50176.03*C,SEAPLANE BASE,D72,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,EAGLE RIVER,D&C FIRE LAKE FLYING CLUB,PR,PU,CHRISTOPHER & DEBBY HUDSON,14111 W. LAKE RIDGE DR,EAGLE RIVER- AK 99577,    907-696-1037,CHRISTOPHER HUDSON,14111 W. LAKE RIDGE DR,EAGLE RIVER- AK 99577,    907-250-7834,61-21-09.0700N,220869.0700N,149-32-46.8600W,538366.8600W,E,295,E,,,,ANCHORAGE,2,N,,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,05/01/2003,O,,,NO OBJECTION,,,,,S,S,6102011,1292003,,,,,,,,N,123,123,N,,,,65,,,,,,,,,10,1200,100,,05/31/2011,OWNER,2003-01-29 00:00:00.0,OWNER,2003-01-29 00:00:00.0,,,,
50175.01*A,AIRPORT,47AK,09/20/2012,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,EAGLE RIVER,HIGHLAND,PR,PR,STEWART FAMILY TRUST,P.O. BOX 966,PALMER- AK 99645,    907-745-3557,FREDERICK PYRAH,P.O. BOX 966,PALMER- AK 99645,    907-745-3557,61-17-33.0000N,220653.0000N,149-31-57.0000W,538317.0000W,E,650,E,22E,2000,,ANCHORAGE,2,SE,,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,,07/01/2002,O,,,NO OBJECTION,,,,,2,N,,6202011,,,,,,,,N,,,N,,,,4,,,,,,,,,,,,,,NACO,2003-03-13 00:00:00.0,NACO,2003-03-13 00:00:00.0,,,,
